,openTime,open,high,low,close,volume,closeTime,assestVolume,noOfTrades,symbol,interval
0,2023-01-01T05:00:00,16541.77,16544.76,16538.45,16543.67,83.08143,2023-01-01T05:00:59.999000,1374268.8488616,2687,btcusdt,1m
1,2023-01-01T05:01:00,16543.04,16544.41,16538.48,16539.31,80.453,2023-01-01T05:01:59.999000,1330772.8885466,2890,btcusdt,1m
2,2023-01-01T05:02:00,16539.31,16541.17,16534.52,16536.43,62.90197,2023-01-01T05:02:59.999000,1040248.3983713,1930,btcusdt,1m
3,2023-01-01T05:03:00,16536.43,16537.28,16531.0,16533.65,115.71894,2023-01-01T05:03:59.999000,1913267.610738,2956,btcusdt,1m
4,2023-01-01T05:04:00,16534.12,16536.08,16527.51,16535.38,144.45369,2023-01-01T05:04:59.999000,2388080.6349298,3795,btcusdt,1m
5,2023-01-01T05:05:00,16534.91,16537.8,16533.94,16536.7,53.58957,2023-01-01T05:05:59.999000,886140.957717,2130,btcusdt,1m
6,2023-01-01T05:06:00,16536.76,16540.43,16534.2,16535.91,96.45571,2023-01-01T05:06:59.999000,1595134.0975095,2348,btcusdt,1m
7,2023-01-01T05:07:00,16535.91,16539.69,16533.95,16534.67,56.7201,2023-01-01T05:07:59.999000,937969.844842,2159,btcusdt,1m
8,2023-01-01T05:08:00,16533.98,16534.79,16528.0,16529.28,95.13552,2023-01-01T05:08:59.999000,1572652.3258634,2619,btcusdt,1m
9,2023-01-01T05:09:00,16529.28,16529.52,16522.55,16526.67,89.28953,2023-01-01T05:09:59.999000,1475565.2083932,2688,btcusdt,1m
10,2023-01-01T05:10:00,16526.67,16530.87,16522.55,16525.34,96.60421,2023-01-01T05:10:59.999000,1596529.1420318,3285,btcusdt,1m
11,2023-01-01T05:11:00,16525.34,16527.42,16523.98,16525.84,43.33715,2023-01-01T05:11:59.999000,716180.9713623,2011,btcusdt,1m
12,2023-01-01T05:12:00,16525.84,16526.46,16520.92,16521.68,42.25952,2023-01-01T05:12:59.999000,698265.398534,1721,btcusdt,1m
13,2023-01-01T05:13:00,16522.1,16524.79,16520.67,16524.17,54.19482,2023-01-01T05:13:59.999000,895432.4123322,1909,btcusdt,1m
14,2023-01-01T05:14:00,16524.6,16525.53,16520.0,16520.69,58.34319,2023-01-01T05:14:59.999000,964037.6131115,2356,btcusdt,1m
15,2023-01-01T05:15:00,16521.26,16526.84,16519.4,16521.0,114.31289,2023-01-01T05:15:59.999000,1888866.3300512,3643,btcusdt,1m
16,2023-01-01T05:16:00,16521.56,16523.96,16517.72,16519.62,140.09379,2023-01-01T05:16:59.999000,2314437.5956002,3534,btcusdt,1m
17,2023-01-01T05:17:00,16519.14,16522.9,16517.72,16522.48,47.00352,2023-01-01T05:17:59.999000,776511.8827539,1824,btcusdt,1m
18,2023-01-01T05:18:00,16522.18,16530.99,16521.44,16530.34,94.05725,2023-01-01T05:18:59.999000,1554441.7372351,2693,btcusdt,1m
19,2023-01-01T05:19:00,16530.37,16537.73,16528.46,16534.94,85.72032,2023-01-01T05:19:59.999000,1417220.0418519,2366,btcusdt,1m
20,2023-01-01T05:20:00,16534.94,16537.82,16534.15,16536.61,37.63557,2023-01-01T05:20:59.999000,622348.4778063,1846,btcusdt,1m
21,2023-01-01T05:21:00,16536.61,16539.74,16536.15,16539.45,65.47593,2023-01-01T05:21:59.999000,1082847.958461,2079,btcusdt,1m
22,2023-01-01T05:22:00,16538.59,16540.52,16532.33,16533.98,85.02815,2023-01-01T05:22:59.999000,1406104.7802982,2331,btcusdt,1m
23,2023-01-01T05:23:00,16533.98,16540.66,16533.83,16539.31,46.89429,2023-01-01T05:23:59.999000,775529.0990017,1672,btcusdt,1m
24,2023-01-01T05:24:00,16539.71,16540.35,16534.0,16535.54,74.49795,2023-01-01T05:24:59.999000,1231946.5325615,2122,btcusdt,1m
25,2023-01-01T05:25:00,16535.54,16541.44,16534.62,16541.44,59.53862,2023-01-01T05:25:59.999000,984691.5908783,1677,btcusdt,1m
26,2023-01-01T05:26:00,16541.44,16544.07,16538.61,16542.01,129.09106,2023-01-01T05:26:59.999000,2135340.2484909,2880,btcusdt,1m
27,2023-01-01T05:27:00,16542.01,16545.7,16541.6,16544.59,31.20436,2023-01-01T05:27:59.999000,516232.5128823,1521,btcusdt,1m
28,2023-01-01T05:28:00,16544.26,16545.46,16542.74,16544.77,51.13562,2023-01-01T05:28:59.999000,845995.7403447,1827,btcusdt,1m
29,2023-01-01T05:29:00,16544.77,16545.52,16542.31,16544.19,40.93956,2023-01-01T05:29:59.999000,677302.4156692,1513,btcusdt,1m
30,2023-01-01T05:30:00,16544.19,16544.61,16536.46,16537.29,106.95807,2023-01-01T05:30:59.999000,1769072.9962025,3021,btcusdt,1m
31,2023-01-01T05:31:00,16537.29,16540.46,16536.14,16536.69,62.73486,2023-01-01T05:31:59.999000,1037517.8117281,2110,btcusdt,1m
32,2023-01-01T05:32:00,16536.69,16537.43,16531.69,16531.97,54.42359,2023-01-01T05:32:59.999000,899831.4025139,1882,btcusdt,1m
